date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:10:29	108/108	---MCZ	200	added ('OK')	text/plain	date:Sat,%2007%20Sep%202024%2006:10:29%20GMT	http://dmeter.local/robots.txt		(from )
00:10:54	59850/59850	---MCZ	200	added ('OK')	text/html	date:Sat,%2007%20Sep%202024%2006:10:54%20GMT	http://dmeter.local/	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/index.html	(from )
00:10:55	5501/5501	---MCZ	200	added ('OK')	text/css	etag:W/%2266d262da-157d%22	http://dmeter.local/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/wp-content/themes/hello-elementor/style.minb12b.css	(from http://dmeter.local/)
00:10:55	5146/5146	---MCZ	200	added ('OK')	text/css	etag:W/%2266d262da-141a%22	http://dmeter.local/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/wp-content/themes/hello-elementor/theme.minb12b.css	(from http://dmeter.local/)
00:10:55	7212/7212	---MCZ	200	added ('OK')	text/css	etag:W/%2266d262da-1c2c%22	http://dmeter.local/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from http://dmeter.local/)
00:10:56	212120/212120	---MCZ	200	added ('OK')	text/css	etag:W/%2266d262b8-33c98%22	http://dmeter.local/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.23.4	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/wp-content/plugins/elementor/assets/css/frontend-lite.mind5d5.css	(from http://dmeter.local/)
00:10:56	1241/1241	---MCZ	200	added ('OK')	text/css	etag:W/%2266dbec40-4d9%22	http://dmeter.local/wp-content/uploads/elementor/css/post-10.css?ver=1725688896	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/wp-content/uploads/elementor/css/post-1018df.css	(from http://dmeter.local/)
00:10:56	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2266d262b9-4057%22	http://dmeter.local/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://dmeter.local/)
00:10:56	9475/9475	---MCZ	200	added ('OK')	text/css	etag:W/%2266dbec40-2503%22	http://dmeter.local/wp-content/uploads/elementor/css/global.css?ver=1725688896	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/wp-content/uploads/elementor/css/global18df.css	(from http://dmeter.local/)
00:10:57	50988/50988	---MCZ	200	added ('OK')	text/css	etag:W/%2266dbed65-c72c%22	http://dmeter.local/wp-content/uploads/elementor/css/post-11.css?ver=1725689189	C:/Downloaded%20Web%20Sites/dMeter/dMeter/dmeter.local/wp-content/uploads/elementor/css/post-113106.css	(from http://dmeter.local/)
